"ScreenName","Friends_count","followers_count"
"GrabbysEurope","1375","44405"
"VascoDaGamba_XV","1008","6854"
"VlfCongo","693","1914"
"im__Arshu","1629","1765"
"kccole01","4862","791"
"TNODpots","2164","723"
"mdmousseau","112","615"
"sof_oal","615","605"
"advsharadkumar1","1159","590"
"huahinswg","4118","547"
